Date,Price,Open,High,Low,Vol.,Change %
31-Jan-20,62.12,63.2,63.2,61.86,34.28M,-4.12%
30-Jan-20,64.79,63.78,64.88,63.43,18.54M,1.06%
29-Jan-20,64.11,65.03,65.13,63.9,14.23M,-0.84%
28-Jan-20,64.65,65.11,65.2,64.63,19.66M,-0.14%
27-Jan-20,64.74,65.42,65.73,64.7,21.23M,-2.38%
24-Jan-20,66.32,66.54,66.67,66.04,18.24M,-0.67%
23-Jan-20,66.77,66.71,66.93,66.05,19.61M,-0.63%
22-Jan-20,67.19,67.56,67.7,67,17.03M,-0.58%
21-Jan-20,67.58,68.38,68.42,67.51,17.98M,-1.43%
17-Jan-20,68.56,68.75,69.08,68.29,18.14M,-0.38%
16-Jan-20,68.82,69.3,69.58,68.8,13.34M,-0.39%
15-Jan-20,69.09,69.2,69.59,68.89,11.39M,-0.16%
14-Jan-20,69.2,69.38,69.58,68.89,16.27M,-0.86%
13-Jan-20,69.8,69.2,69.87,69.11,9.97M,0.95%
10-Jan-20,69.14,69.93,69.96,69.12,12.00M,-0.89%
9-Jan-20,69.76,69.14,69.9,68.62,14.81M,0.77%
8-Jan-20,69.23,70.11,70.28,69.17,15.14M,-1.51%
7-Jan-20,70.29,70.5,70.52,69.51,17.50M,-0.82%
6-Jan-20,70.87,70.32,71.36,70.23,20.08M,0.77%
3-Jan-20,70.33,71.34,71.37,70.16,17.39M,-0.80%
2-Jan-20,70.9,70.24,71.02,70.24,12.41M,1.61%
31-Dec-19,69.78,69.02,69.8,69.01,13.16M,0.43%
30-Dec-19,69.48,70.09,70.44,69.4,12.69M,-0.59%
27-Dec-19,69.89,70.2,70.31,69.88,10.52M,-0.34%
26-Dec-19,70.13,70.19,70.5,70.01,8.84M,0.16%
24-Dec-19,70.02,70.35,70.5,69.91,3.98M,-0.38%
23-Dec-19,70.29,69.86,70.3,69.53,14.17M,0.50%
20-Dec-19,69.94,69.86,70.23,69.39,35.09M,0.79%
19-Dec-19,69.39,69.99,70.05,69.24,13.28M,-0.69%
18-Dec-19,69.87,69.63,70.29,69.28,13.65M,0.27%
17-Dec-19,69.68,69.98,70.38,69.31,14.46M,-0.46%
16-Dec-19,70,69.7,70.25,69.7,15.21M,1.11%
13-Dec-19,69.23,70.48,70.54,69.12,12.28M,-1.58%
12-Dec-19,70.34,68.96,70.38,68.9,17.07M,2.00%
11-Dec-19,68.96,68.74,69.76,68.67,13.75M,-0.14%
10-Dec-19,69.06,69.66,70.15,68.7,14.28M,-0.86%
9-Dec-19,69.66,69.08,69.97,69.02,12.41M,0.22%
6-Dec-19,69.51,68.76,69.87,68.76,13.71M,1.61%
5-Dec-19,68.41,68.89,68.97,68.2,13.11M,-0.35%
4-Dec-19,68.65,68.25,68.76,68.14,11.05M,1.13%
3-Dec-19,67.88,68,68.25,67.52,12.87M,-0.79%
2-Dec-19,68.42,68.5,68.88,68.37,11.12M,0.43%
29-Nov-19,68.13,68.33,68.53,68,7.98M,-0.83%
27-Nov-19,68.7,68.76,69.09,68.41,8.40M,-0.06%
26-Nov-19,68.74,68.92,69.03,68.44,15.46M,-0.25%
25-Nov-19,68.91,69.37,69.44,68.71,10.67M,-0.66%
22-Nov-19,69.37,69.71,70.18,69.33,12.14M,-0.43%
21-Nov-19,69.67,68.02,69.75,67.92,14.08M,2.41%
20-Nov-19,68.03,67.67,68.54,67.32,16.93M,0.31%
19-Nov-19,67.82,68.4,68.56,67.78,12.61M,-1.02%
18-Nov-19,68.52,68.7,68.82,68.3,10.10M,-0.97%
15-Nov-19,69.19,68.71,69.3,68.67,11.25M,1.01%
